"game_id","pfr_game_id","season","week","game_type","team","opponent","pfr_player_name","pfr_player_id","def_ints","def_targets","def_completions_allowed","def_completion_pct","def_yards_allowed","def_yards_allowed_per_cmp","def_yards_allowed_per_tgt","def_receiving_td_allowed","def_passer_rating_allowed","def_adot","def_air_yards_completed","def_yards_after_catch","def_times_blitzed","def_times_hurried","def_times_hitqb","def_sacks","def_pressures","def_tackles_combined","def_missed_tackles","def_missed_tackle_pct"
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Adoree' Jackson","JackAd00",0,8,6,0.75,106,17.7,13.3,0,116.7,10.6,70,36,0,0,0,0,0,7,1,0.125
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Zack Baun","BaunZa00",0,5,4,0.8,27,6.8,5.4,0,89.2,7.4,17,10,3,0,0,0,0,9,2,0.182
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Quinyon Mitchell","MitcQu00",0,9,4,0.444,30,7.5,3.3,0,53,14.1,21,9,0,0,0,0,0,4,1,0.2
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Jakorian Bennett","BennJa00",0,3,3,1,20,6.7,6.7,0,94.4,4,12,8,0,0,0,0,0,3,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Jalyx Hunt","HuntJa02",0,1,1,1,-3,-3,-3,0,79.2,-8,-8,5,3,1,0,0,1,3,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Andrew Mukuba","MukuAn00",0,1,1,1,5,5,5,0,87.5,5,5,0,0,0,0,0,0,4,1,0.2
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Cooper DeJean","DeJeCo00",0,3,1,0.333,0,0,0,0,42.4,16.3,-3,3,0,0,0,0,0,5,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Reed Blankenship","BlanRe00",0,1,1,1,3,3,3,0,79.2,-1,-1,4,0,0,0,0,0,3,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Moro Ojomo","OjomMo00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Jordan Davis","DaviJo03",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,6,1,0.143
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Nolan Smith","SmitNo02",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,4,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Joshua Uche","UcheJo00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","PHI","DAL","Jihaad Campbell","CampJi00",0,3,0,0,NA,NA,0,NA,39.6,13.3,NA,NA,2,0,0,0,0,3,1,0.25
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Kaiir Elam","ElamKa00",0,5,5,1,74,14.8,14.8,0,118.7,11.4,57,17,0,0,0,0,0,6,1,0.143
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Kenneth Murray","MurrKe00",0,4,4,1,22,5.5,5.5,0,89.6,2,8,14,2,0,0,0,0,9,1,0.1
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Jack Sanborn","SanbJa00",0,2,2,1,12,6,6,0,91.7,0,0,12,0,0,0,0,0,6,1,0.143
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","DaRon Bland","BlanDa00",0,2,2,1,11,5.5,5.5,0,89.6,-0.5,-1,12,3,0,0,0,0,3,3,0.5
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Malik Hooker","HookMa00",0,2,2,1,13,6.5,6.5,0,93.7,6,12,1,0,0,0,0,0,9,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Donovan Wilson","WilsDo01",0,1,1,1,1,1,1,0,79.2,0,0,1,0,0,0,0,0,1,1,0.5
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Damone Clark","ClarDa02",0,1,1,1,4,4,4,0,83.3,4,4,0,0,0,0,0,0,6,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Marist Liufau","LiufMa00",0,1,1,1,6,6,6,0,91.7,2,2,4,0,0,0,0,0,3,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Trevon Diggs","DiggTr00",0,1,1,1,9,9,9,0,104.2,9,9,0,1,0,0,0,0,1,1,0.5
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Osa Odighizuwa","OdigOs00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,3,3,1,0.25
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Sam Williams","WillSa00",0,1,0,0,NA,NA,0,NA,39.6,-2,NA,NA,0,1,1,0,2,5,2,0.286
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Donovan Ezeiruaku","EzeiDo00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Marshawn Kneeland","KneeMa00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,3,1,0.25
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Dante Fowler","FowlDa00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,NA
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Solomon Thomas","ThomSo00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,5,0,0
"2025_01_DAL_PHI","202509040phi",2025,1,"REG","DAL","PHI","Kenny Clark","ClarKe01",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,5,1,0.167
"2025_01_KC_LAC","202509050sdg",2025,1,"REG","LAC","KC","Da'Shawn Hand","HandDa00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,2,0,0
"2025_01_KC_LAC","202509050sdg",2025,1,"REG","LAC","KC","Daiyan Henley","HenlDa00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,8,0,0
"2025_01_KC_LAC","202509050sdg",2025,1,"REG","KC","LAC","Drue Tranquill","TranDr00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,2,5,0,0
"2025_01_KC_LAC","202509050sdg",2025,1,"REG","KC","LAC","George Karlaftis III","KarlGe00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,3,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","ATL","TB","Xavier Watts","WattXa00",0,7,4,0.571,42,10.5,6,0,74.7,12.9,34,8,0,0,0,0,0,6,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","ATL","TB","Mike Hughes","HughMi00",0,6,3,0.5,66,22,11,2,129.2,14,61,5,0,0,0,0,0,2,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","ATL","TB","AJ Terrell","TerrAJ00",0,6,3,0.5,28,9.3,4.7,0,63.2,13.2,24,4,0,0,0,0,0,6,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","ATL","TB","Kaden Elliss","ElliKa00",0,4,3,0.75,17,5.7,4.3,1,121.9,0,-3,20,3,0,0,0,0,5,1,0.167
"2025_01_TB_ATL","202509070atl",2025,1,"REG","ATL","TB","Billy Bowman","BowmBi01",0,2,2,1,13,6.5,6.5,0,93.7,2.5,5,8,2,0,0,0.5,1,6,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","ATL","TB","Jessie Bates III","BateJe00",0,2,1,0.5,1,1,0.5,0,56.2,11.5,1,0,1,0,0,0,0,6,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","ATL","TB","Arnold Ebiketie","EbikAr00",0,1,1,1,0,0,0,0,79.2,0,0,0,1,0,0,0,0,5,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","ATL","TB","James Pearce","PearJa00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,NA
"2025_01_TB_ATL","202509070atl",2025,1,"REG","ATL","TB","Divine Deablo","DeabDi00",0,1,0,0,NA,NA,0,NA,39.6,19,NA,NA,4,0,0,0.5,1,6,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","TB","ATL","Tykee Smith","SmitTy05",0,9,7,0.778,71,10.1,7.9,0,99.5,7.6,43,28,0,0,0,0,0,11,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","TB","ATL","SirVocea Dennis","DennSi00",0,6,6,1,116,19.3,19.3,1,158.3,2,12,104,4,0,0,0,0,10,3,0.231
"2025_01_TB_ATL","202509070atl",2025,1,"REG","TB","ATL","Jamel Dean","DeanJa00",0,8,4,0.5,27,6.8,3.4,0,57.8,7.6,24,3,0,0,0,0,0,6,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","TB","ATL","Lavonte David","DaviLa00",0,3,3,1,17,5.7,5.7,0,90.3,1.7,5,12,4,0,1,0,1,9,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","TB","ATL","Zyon McCollum","McCoZy02",0,6,3,0.5,29,9.7,4.8,0,63.9,9.2,14,15,0,0,0,0,0,10,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","TB","ATL","Jacob Parrish","ParrJa01",0,5,3,0.6,26,8.7,5.2,0,73.7,3,5,21,0,0,0,0,0,5,1,0.167
"2025_01_TB_ATL","202509070atl",2025,1,"REG","TB","ATL","Haason Reddick","ReddHa00",0,1,1,1,12,12,12,0,116.7,6,6,6,1,0,0,1,1,3,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","TB","ATL","YaYa Diaby","DiabYa00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,2,3,1,0.25
"2025_01_TB_ATL","202509070atl",2025,1,"REG","TB","ATL","Vita Vea","VeaxVi00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,2,0,0
"2025_01_TB_ATL","202509070atl",2025,1,"REG","TB","ATL","Antoine Winfield Jr.","WinfAn00",0,3,0,0,NA,NA,0,NA,39.6,18,NA,NA,4,0,0,0,0,4,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Denzel Ward","WardDe02",0,7,5,0.714,44,8.8,6.3,0,87.8,9.6,21,23,1,0,0,0,0,2,3,0.6
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Myles Harden","HardMy00",0,2,2,1,21,10.5,10.5,0,110.4,7,14,7,0,0,0,0,0,3,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Ronnie Hickman","HickRo00",0,4,2,0.5,17,8.5,4.3,0,61.5,6.5,5,12,0,0,0,0,0,5,1,0.167
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Greg Newsome II","NewsGr00",0,4,2,0.5,24,12,6,0,68.7,15.5,24,0,0,0,0,0,0,3,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Devin Bush Jr.","BushDe01",0,1,1,1,1,1,1,0,79.2,-2,-2,3,2,0,1,0,1,7,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Carson Schwesinger","SchwCa00",0,3,1,0.333,1,1,0.3,1,81.9,1.7,1,0,4,0,1,0,1,8,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Cameron Mitchell","MitcCa01",0,1,1,1,20,20,20,0,118.7,9,9,11,0,0,0,0,0,0,0,NA
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Jerome Baker","BakeJe00",0,1,1,1,5,5,5,0,87.5,1,1,4,0,0,0,0,0,1,1,0.5
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Myles Garrett","GarrMy00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,3,5,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Isaiah McGuire","McGuIs00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,6,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Maliek Collins","CollMa00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,1
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Rayshawn Jenkins","JenkRa00",0,1,0,0,NA,NA,0,NA,39.6,-4,NA,NA,0,0,0,0,0,0,0,NA
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CLE","CIN","Mason Graham","GrahMa00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,1,0.25
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Cam Taylor-Britt","TaylCa01",0,8,7,0.875,85,12.1,10.6,1,150.5,6.4,39,46,2,0,0,0,0,1,1,0.5
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Logan Wilson","WilsLo00",0,6,5,0.833,37,7.4,6.2,0,92.4,2,-1,38,3,1,0,0,1,7,2,0.222
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Daxton Hill","HillDa04",0,6,5,0.833,24,4.8,4,0,83.3,2.2,12,12,1,0,0,0,0,9,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Demetrius Knight","KnigDe00",0,5,4,0.8,28,7,5.6,0,90,1.2,4,24,0,0,0,0,0,10,1,0.091
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Jordan Battle","BattJo00",1,5,4,0.8,59,14.8,11.8,0,76.2,13.8,42,17,0,0,0,0,0,12,2,0.143
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Oren Burks","BurkOr00",0,2,2,1,9,4.5,4.5,0,85.4,-5.5,-11,20,0,0,0,0,0,2,1,0.333
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Barrett Carter","CartBa00",0,2,2,1,25,12.5,12.5,0,118.7,3.5,7,18,1,0,0,0,0,4,1,0.2
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","DJ Turner","TurnDJ01",1,3,2,0.667,32,16,10.7,0,62.5,15,27,5,0,0,0,0,0,2,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Geno Stone","StonGe00",0,2,1,0.5,13,13,6.5,0,70.8,15.5,13,0,0,0,0,0,0,5,1,0.167
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Josh Newton","NewtJo00",0,2,1,0.5,6,6,3,0,56.2,6,6,0,0,0,0,0,0,3,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Trey Hendrickson","HendTr00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,4,3,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","B.J. Hill","HillB.00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,7,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Shemar Stewart","StewSh00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,NA
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Joseph Ossai","OssaJo00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,0.5
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Tedarrell Slaton","SlatTe00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,3,0,0
"2025_01_CIN_CLE","202509070cle",2025,1,"REG","CIN","CLE","Myles Murphy","MurpMy00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,1,0.333
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Charvarius Ward","WardCh01",0,7,6,0.857,38,6.3,5.4,0,89.3,5,30,8,0,0,0,0,0,6,1,0.143
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Kenny Moore","MoorKe03",0,6,5,0.833,33,6.6,5.5,1,129.2,-0.7,-10,43,4,0,0,1,1,4,2,0.333
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Mekhi Blackmon","BlacMe00",0,3,2,0.667,20,10,6.7,0,85.4,11.7,16,4,0,0,0,0,0,3,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Zaire Franklin","FranZa00",0,2,2,1,30,15,15,0,118.7,13,26,4,3,0,0,0,0,4,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Laiatu Latu","LatuLa00",1,1,1,1,6,6,6,0,52.1,-1,-1,7,1,1,0,0,1,1,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Cameron McGrone","McGrCa00",0,1,1,1,9,9,9,0,104.2,-3,-3,12,1,0,0,0,0,1,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Rodney Thomas II","ThomRo07",0,2,1,0.5,9,9,4.5,0,62.5,14,9,0,0,0,0,0,0,3,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Joe Bachie","BachJo01",0,1,1,1,1,1,1,0,79.2,0,0,1,0,0,0,0,0,6,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Samson Ebukam","EbukSa00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,2,1,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Nick Cross","CrosNi00",0,3,0,0,NA,NA,0,NA,39.6,18,NA,NA,2,0,0,1,1,6,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Kwity Paye","PayeKw00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,0.5
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Grover Stewart","StewGr00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,2,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Xavien Howard","HowaXa00",0,3,0,0,NA,NA,0,NA,39.6,4.7,NA,NA,0,0,0,0,0,0,0,NA
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Camryn Bynum","BynuCa00",1,1,0,0,NA,NA,0,NA,0,11,NA,NA,0,0,0,0,0,3,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","DeForest Buckner","BuckDe00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,1,0.25
"2025_01_MIA_IND","202509070clt",2025,1,"REG","IND","MIA","Daniel Scott","ScotDa03",0,1,0,0,NA,NA,0,NA,39.6,20,NA,NA,0,0,0,0,0,0,0,NA
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Tyrel Dodson","DodsTy01",0,3,3,1,14,4.7,4.7,0,86.1,1,3,11,6,0,0,0,0,13,2,0.133
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Rasul Douglas","DougRa00",0,5,3,0.6,56,18.7,11.2,0,98.7,13.8,50,6,0,0,0,0,0,1,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Storm Duck","DuckSt00",0,4,3,0.75,51,17,12.8,1,156.2,13.3,44,7,1,0,0,0,0,2,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Jack Jones","JoneJa10",0,5,3,0.6,48,16,9.6,0,92.1,2.2,17,31,0,0,0,0,0,8,1,0.111
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Jason Marshall","MarsJa00",0,2,2,1,20,10,10,0,108.3,0.5,1,19,1,0,1,0,1,2,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Ifeatu Melifonwu","MeliIf00",0,2,2,1,14,7,7,0,95.8,4,8,6,2,0,0,0,0,6,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Jaelan Phillips","PhilJa02",0,1,1,1,14,14,14,0,118.7,2,2,12,4,2,0,0,2,2,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Minkah Fitzpatrick","FitzMi00",0,3,1,0.333,21,21,7,0,59,11.3,20,1,2,2,0,0,2,9,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Jordyn Brooks","BrooJo01",0,1,1,1,5,5,5,0,87.5,3,3,2,4,1,0,0,1,14,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Kenneth Grant","GranKe01",0,1,1,1,6,6,6,0,91.7,5,5,1,0,0,0,0,0,4,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Bradley Chubb","ChubBr00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,1,1,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Chop Robinson","RobiCh00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
"2025_01_MIA_IND","202509070clt",2025,1,"REG","MIA","IND","Matt Judon","JudoMa00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Jourdan Lewis","LewiJo01",1,5,3,0.6,22,7.3,4.4,0,30.8,5.6,10,12,1,0,1,0,1,5,1,0.167
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Eric Murray","MurrEr00",0,6,3,0.5,46,15.3,7.7,1,115.3,7.2,13,33,1,0,1,0,1,7,1,0.125
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Tyson Campbell","CampTy01",0,6,3,0.5,24,8,4,0,60.4,9.3,21,3,0,0,0,0,0,6,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Jarrian Jones","JoneJa14",0,7,3,0.429,33,11,4.7,0,57.4,10.9,33,0,0,0,0,0,0,4,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Foyesade Oluokun","OluoFo00",1,6,3,0.5,29,9.7,4.8,0,24.3,2.8,16,13,1,0,0,0,0,10,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Andrew Wingard","WingAn01",0,3,1,0.333,7,7,2.3,0,42.4,0.3,0,7,1,0,0,0,0,8,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Travis Hunter","HuntTr00",0,1,1,1,12,12,12,0,116.7,9,9,3,0,0,0,0,0,1,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Dennis Gardeck","GardDe01",0,1,1,1,2,2,2,0,79.2,0,0,2,0,0,0,0,0,2,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Dawuane Smoot","SmooDa00",0,1,0,0,NA,NA,0,NA,39.6,-11,NA,NA,0,0,0,1,1,2,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Arik Armstead","ArmsAr01",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Josh Hines-Allen","AlleJo03",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,NA
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Ventrell Miller","MillVe00",0,1,0,0,NA,NA,0,NA,39.6,19,NA,NA,0,0,0,0,0,2,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Devin Lloyd","LloyDe00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,4,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Darnell Savage Jr.","SavaDa00",0,1,0,0,NA,NA,0,NA,39.6,27,NA,NA,0,0,0,0,0,0,0,NA
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","JAX","CAR","Brian Thomas","ThomBr06",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","CAR","JAX","Christian Rozeboom","RozeCh00",0,7,4,0.571,45,11.3,6.4,0,76.5,1.3,12,33,2,0,0,0,0,8,2,0.2
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","CAR","JAX","Tre'von Moehrig","MoehTr00",0,4,4,1,35,8.8,8.8,0,103.1,6,24,11,2,0,0,0,0,11,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","CAR","JAX","Chau Smith-Wade","SmitCh05",0,6,3,0.5,23,7.7,3.8,0,59.7,5.5,8,15,0,0,0,0,0,1,1,0.5
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","CAR","JAX","Michael Jackson","JackMi01",0,4,3,0.75,38,12.7,9.5,0,104.2,14.5,34,4,0,0,0,0,0,4,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","CAR","JAX","Trevin Wallace","WallTr00",0,4,2,0.5,27,13.5,6.8,0,71.9,8.3,17,10,1,0,0,0,0,5,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","CAR","JAX","Jaycee Horn","HornJa00",1,5,1,0.2,31,31,6.2,0,13.3,12.2,5,26,0,0,0,0,0,2,1,0.333
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","CAR","JAX","Nick Scott","ScotNi01",0,2,1,0.5,6,6,3,1,95.8,10,6,0,0,0,0,0,0,5,1,0.167
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","CAR","JAX","Lathan Ransom","RansLa00",0,1,1,1,24,24,24,0,118.7,8,8,16,0,0,0,0,0,1,0,0
"2025_01_CAR_JAX","202509070jax",2025,1,"REG","CAR","JAX","A'Shawn Robinson","RobiAS00",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,6,0,0
"2025_01_LV_NE","202509070nwe",2025,1,"REG","NE","LV","Christian Elliss","ElliCh00",0,5,5,1,50,10,10,0,108.3,4.8,24,26,6,0,0,0,0,8,2,0.2
"2025_01_LV_NE","202509070nwe",2025,1,"REG","NE","LV","Robert Spillane","SpilRo00",0,4,4,1,61,15.3,15.3,0,118.7,8.3,33,28,7,1,0,0,1,3,3,0.5
"2025_01_LV_NE","202509070nwe",2025,1,"REG","NE","LV","Jaylinn Hawkins","HawkJa00",1,3,3,1,92,30.7,30.7,1,118.7,18.7,56,36,1,0,0,1,1,5,2,0.286
